Unnamed: 0,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,LOCATION,LAT,LON,Year,Month,Day,DayOfWeek,Hour,Quarter,IsWeekend,TimeHour,TimeMinute,TimeOfDay
7,201308739,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1210,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,3200 S  SAN PEDRO                    ST,34.017,-118.2643,2020.0,3.0,27.0,4.0,0.0,1.0,0,12,10,Morning
8,201112065,07/31/2020 12:00:00 AM,07/30/2020 12:00:00 AM,2030,11,Northeast,1161,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,AA,Adult Arrest,510,,,KENMORE                      ST,34.0953,-118.2974,2020.0,7.0,30.0,3.0,0.0,3.0,0,20,30,Evening
10,201215394,06/26/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2200,12,77th Street,1259,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,FLORENCE,33.9747,-118.2587,2020.0,6.0,25.0,3.0,0.0,2.0,0,22,0,Evening
13,200912561,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,700,9,Van Nuys,937,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,BESSEMER,34.1812,-118.4356,2020.0,7.0,20.0,0.0,0.0,3.0,0,7,0,Morning
14,200207955,03/19/2020 12:00:00 AM,03/19/2020 12:00:00 AM,130,2,Rampart,236,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,1900    MIRAMAR                      ST,34.0632,-118.2693,2020.0,3.0,19.0,3.0,0.0,1.0,0,1,30,Night
15,200112598,06-01-2020 00:00,05/30/2020 12:00:00 AM,30,1,Central,153,1,310,BURGLARY,1609 0344,0,M,W,201,JEWELRY STORE,,,AA,Adult Arrest,310,,,600 S  BROADWAY,34.0467,-118.252,2020.0,5.0,30.0,5.0,0.0,2.0,1,0,30,Night
17,200215463,09/26/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1900,2,Rampart,237,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,1600 W  COURT                        ST,34.0668,-118.2627,2020.0,9.0,25.0,4.0,0.0,3.0,0,19,0,Evening
20,200517540,12-07-2020 00:00,11/30/2020 12:00:00 AM,2255,5,Harbor,541,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,1400    BRETT                        PL,33.7553,-118.3056,2020.0,11.0,30.0,0.0,0.0,4.0,0,22,55,Evening
21,200506977,03-10-2020 00:00,02/22/2020 12:00:00 AM,30,5,Harbor,511,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,AA,Adult Arrest,510,,,1600 W  PACIFIC COAST                HY,33.7926,-118.3043,2020.0,2.0,22.0,5.0,0.0,1.0,1,0,30,Night
23,201000767,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,2000,10,West Valley,1043,1,330,BURGLARY FROM VEHICLE,0344 1602 1822 1402,41,M,W,108,PARKING LOT,,,AA,Adult Arrest,330,998.0,,18600    HATTERAS                     ST,34.1774,-118.5387,2020.0,7.0,13.0,0.0,0.0,3.0,0,20,0,Evening
25,200410136,06/24/2020 12:00:00 AM,06/24/2020 12:00:00 AM,700,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,300 E  AVENUE 31,34.0809,-118.2132,2020.0,6.0,24.0,2.0,0.0,2.0,0,7,0,Morning
26,200814461,09/24/2020 12:00:00 AM,09/24/2020 12:00:00 AM,1710,8,West LA,898,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,ROBERTSON                    BL,34.0375,-118.3886,2020.0,9.0,24.0,3.0,0.0,3.0,0,17,10,Afternoon
27,201215562,06/29/2020 12:00:00 AM,06/29/2020 12:00:00 AM,730,12,77th Street,1263,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,81ST,33.9655,-118.3046,2020.0,6.0,29.0,0.0,0.0,2.0,0,7,30,Morning
29,200714301,09/27/2020 12:00:00 AM,09/22/2020 12:00:00 AM,1430,7,Wilshire,702,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,800 N  FULLER                       AV,34.0853,-118.3499,2020.0,9.0,22.0,1.0,0.0,3.0,0,14,30,Afternoon
30,200906009,02/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2230,9,Van Nuys,914,2,806,PANDERING,0908 1212 1402,0,F,X,101,STREET,,,AO,Adult Other,806,998.0,,SEPULVEDA,34.1958,-118.4662,2020.0,2.0,13.0,3.0,0.0,1.0,0,22,30,Evening
32,200618540,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,950,6,Hollywood,642,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,ORANGE,34.0981,-118.3577,2020.0,11.0,27.0,4.0,0.0,4.0,0,9,50,Morning
33,200316510,08/30/2020 12:00:00 AM,08/29/2020 12:00:00 AM,2050,3,Southwest,333,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,AO,Adult Other,510,,,JEFFERSON,34.0278,-118.3378,2020.0,8.0,29.0,5.0,0.0,3.0,1,20,50,Evening
35,200808682,04/25/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1400,8,West LA,858,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,8800 W  PICO                         BL,34.0548,-118.3837,2020.0,4.0,21.0,1.0,0.0,2.0,0,14,0,Afternoon
36,200810737,06/17/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1600,8,West LA,829,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,1300    WOODRUFF                     AV,34.0633,-118.4292,2020.0,6.0,16.0,1.0,0.0,2.0,0,16,0,Afternoon
37,201116973,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,332,11,Northeast,1169,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,200 S  AVENUE 51,34.1038,-118.1987,2020.0,12.0,26.0,5.0,0.0,4.0,1,3,32,Night
38,200510994,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,230,5,Harbor,563,1,510,VEHICLE - STOLEN,,0,Unknown,,108,PARKING LOT,,,IC,Invest Cont,510,,,14TH                         ST,33.7315,-118.2879,2020.0,6.0,25.0,3.0,0.0,2.0,0,2,30,Night
39,201107590,03/22/2020 12:00:00 AM,03/21/2020 12:00:00 AM,2000,11,Northeast,1137,1,510,VEHICLE - STOLEN,,0,Unknown,,101,STREET,,,IC,Invest Cont,510,,,700 N  AVENUE 50,34.1109,-118.2016,2020.0,3.0,21.0,5.0,0.0,1.0,1,20,0,Evening
40,200119680,10/19/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1800,1,Central,159,1,510,VEHICLE - STOLEN,,0,Unknown,,108,PARKING LOT,,,IC,Invest Cont,510,,,1800    CONWAY                       PL,34.0366,-118.2325,2020.0,10.0,18.0,6.0,0.0,4.0,1,18,0,Afternoon
41,200410224,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,400,4,Hollenbeck,471,1,510,VEHICLE - STOLEN,,0,Unknown,,108,PARKING LOT,,,IC,Invest Cont,510,,,4TH,34.0427,-118.2237,2020.0,6.0,27.0,5.0,0.0,2.0,1,4,0,Night
45,200109800,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,930,1,Central,163,1,330,BURGLARY FROM VEHICLE,1307 1822 0377 0329 1414 1609 0344,0,M,W,103,ALLEY,,,IC,Invest Cont,330,,,9TH,34.0416,-118.255,2020.0,3.0,29.0,6.0,0.0,1.0,1,9,30,Morning
51,200105246,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,940,1,Central,118,2,624,BATTERY - SIMPLE ASSAULT,0913 0400,42,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,200 E  BLOOM                        ST,34.0639,-118.2295,2020.0,1.0,18.0,5.0,0.0,1.0,1,9,40,Morning
52,201106067,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,1830,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 0352 1307,43,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,2700 N  VERMONT                      AV,34.1179,-118.293,2020.0,2.0,15.0,5.0,0.0,1.0,1,18,30,Afternoon
53,201116118,11/27/2020 12:00:00 AM,11/23/2020 12:00:00 AM,1200,11,Northeast,1141,2,354,THEFT OF IDENTITY,0930 1822,26,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,2000 N  VERMONT                      AV,34.1095,-118.2958,2020.0,11.0,23.0,0.0,0.0,4.0,0,12,0,Morning
55,200217442,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,310,2,Rampart,218,1,310,BURGLARY,1822 1609 0329 0344 0352,36,M,W,210,RESTAURANT/FAST FOOD,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,1500 W  SUNSET                       BL,34.0758,-118.2552,2020.0,11.0,15.0,6.0,0.0,4.0,1,3,10,Night
56,200914052,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1255,9,Van Nuys,935,2,624,BATTERY - SIMPLE ASSAULT,444,57,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,14100    SYLVAN                       ST,34.1847,-118.44,2020.0,8.0,27.0,3.0,0.0,3.0,0,12,55,Morning
