crime_type,victim_sex,count,mean_age,median_age,std_age
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",F,35,36.34285714285714,32.0,17.5531844892682
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",M,78,35.93589743589744,36.0,14.582804091057904
BATTERY - SIMPLE ASSAULT,F,72,40.236111111111114,38.5,16.813385894189096
BATTERY - SIMPLE ASSAULT,M,98,43.51020408163265,42.5,16.977999650219978
BURGLARY FROM VEHICLE,F,54,36.074074074074076,33.5,10.848618470173546
BURGLARY FROM VEHICLE,M,85,38.37647058823529,36.0,11.89835569931152
BURGLARY FROM VEHICLE,X,1,19.0,19.0,
INTIMATE PARTNER - SIMPLE ASSAULT,F,81,34.20987654320987,30.0,13.275650689686284
INTIMATE PARTNER - SIMPLE ASSAULT,M,23,35.26086956521739,34.0,8.523856315202263
THEFT PLAIN - PETTY ($950 & UNDER),F,52,38.44230769230769,36.5,13.222698045018783
THEFT PLAIN - PETTY ($950 & UNDER),M,41,41.97560975609756,40.0,14.841643785103535
